Date,BTC_Price,MSTR_Price,BTC_Holdings,NAV,Market_Cap,NAV_Premium
2022-05-04,39698.37109375,36.64400100708008,124391.0,4938120078.722656,8941136245.72754,0.8106356474102475
2022-05-05,36575.140625,31.45199966430664,124391.0,4549618317.484375,7674287918.09082,0.686798184497853
2022-05-06,36040.921875,29.423999786376953,124391.0,4483166312.953125,7179455947.875977,0.601425297815188
2022-05-07,35501.953125,,124391.0,4416123451.171875,,
2022-05-08,34059.265625,,124391.0,4236666110.359375,,
2022-05-09,30296.953125,21.905000686645508,124391.0,3768668296.171875,5344820167.541504,0.41822515209700123
2022-05-10,31022.90625,22.552000045776367,124391.0,3858970331.34375,5502688011.169434,0.42594721873731456
2022-05-11,28936.35546875,16.81999969482422,124391.0,3599422193.1132812,4104079925.5371094,0.14020520665494088
2022-05-12,29047.751953125,17.118000030517578,124391.0,3613278913.201172,4176792007.446289,0.15595615721396794
2022-05-13,29283.103515625,20.457000732421875,124391.0,3642554529.4121094,4991508178.7109375,0.3703317653604331
2022-05-14,30101.265625,,124391.0,3744326532.359375,,
2022-05-15,31305.11328125,,124391.0,3894074346.1679688,,
2022-05-16,29862.91796875,20.150999069213867,124391.0,3714678229.0507812,4916843772.888184,0.3236257542943616
2022-05-17,30425.857421875,22.48699951171875,124391.0,3784702830.564453,5486827880.859375,0.4497380974138637
2022-05-18,28720.271484375,19.743999481201172,124391.0,3572543290.2128906,4817535873.413086,0.3484891524228403
2022-05-19,30314.333984375,21.07699966430664,124391.0,3770830318.6503906,5142787918.09082,0.3638343503961918
2022-05-20,29200.740234375,20.274999618530273,124391.0,3632309278.4941406,4947099906.921387,0.36197100181191716
2022-05-21,29432.2265625,,124391.0,3661104094.3359375,,
2022-05-22,30323.72265625,,124391.0,3771998184.9335938,,
2022-05-23,29098.91015625,20.437000274658203,124391.0,3619642533.2460938,4986628067.016602,0.37765760602459153
2022-05-24,29655.5859375,19.301000595092773,124391.0,3688887990.3515625,4709444145.202637,0.2766568563535625
